pincode,lat,lng
110001,28.623449114419195,77.21871970978553
110002,28.63289835066198,77.24600529374322
110003,28.59108284166464,77.22578860603049
110004,28.61601864504262,77.1909246695113
110005,28.652409124371488,77.18981877671986
110006,28.6572386597358,77.22967130874821
110007,28.67771426589676,77.20199219752877
110008,28.654237672081383,77.16667839449256
110010,28.589627124057728,77.13078291911712
110011,28.60520529541082,77.20909142390649
110012,28.63209072649021,77.15932990953733
110013,28.59095068674709,77.25798182756877
110014,28.581183564987768,77.2598567386618
110015,28.65677300241008,77.14526931929042
110016,28.548039202539186,77.19506167376693
110017,28.533013346990405,77.21514570925592
110018,28.642622328087928,77.08682563794109
110019,28.534867361351925,77.25766015386937
110020,28.53561336100118,77.27648241022345
110021,28.59085261053699,77.17986028160868
110022,28.565011711906212,77.17577421064243
110023,28.575190293646376,77.19965686180493
110024,28.570304880233177,77.24007078031215
110025,28.560828332060343,77.28688368537914
110026,28.66795529315081,77.13185497557816
110027,28.648979905629442,77.11685327046791
110028,28.63090492688106,77.13853144410443
110029,28.565039234971742,77.20063643826369
110030,28.49958076101334,77.16271781213706
110031,28.657415237004642,77.26670490765092
110032,28.673997596557108,77.29141432584045
110033,28.71452450938641,77.18915679046626
110034,28.694018316695683,77.1345095451615
110035,28.681073559144092,77.15729349988109
110036,28.82001585252893,77.1626623957246
110037,28.547597771136605,77.10900020151486
110038,28.510205879593492,77.11445096762098
110039,28.79998319373228,77.02405712509655
110040,28.845639031066938,77.08313510462145
110041,28.670451190204016,77.02035565185399
110042,28.751086562744863,77.13210679564655
110043,28.591678822751597,76.96901361756784
110044,28.505468019238812,77.29786429760323
110045,28.598252764836104,77.08611378545379
110046,28.606027841837218,77.10221685918911
110047,28.462106815345052,77.13702374089813
110048,28.54314228817712,77.23842222949281
110049,28.559513270933465,77.22041565225807
110051,28.654521828884402,77.28397655803506
110052,28.687546963802063,77.17489030184385
110053,28.68765535239491,77.25393736462757
110054,28.6895105943648,77.22321419250375
110055,28.645898286003483,77.21101932128202
110056,28.681698459020023,77.11455308013221
110057,28.560128103543686,77.15802747685757
110058,28.622770553466708,77.08789135884898
110059,28.624356463116044,77.05011564987763
110060,28.62905269573831,77.1826849144841
110061,28.53189435508029,77.0628895302516
110062,28.519277530890108,77.24029935732126
110063,28.66941479686101,77.10573845191006
110064,28.625687824986763,77.1130344507617
110065,28.564825286938543,77.25672520104261
110066,28.568677256099935,77.18348354990198
110067,28.540921700712165,77.16899959007604
110068,28.491963405612708,77.206414302874
110069,28.608435863200164,77.22706893430464
110070,28.52227237152685,77.1503009569111
110071,28.552208105061077,77.00218529512497
110072,28.64529510809147,76.95183083704835
110073,28.562496478964366,76.89783287718537
110074,28.448503350136313,77.19757460032804
110075,28.582773256417447,77.05146060060945
110076,28.528526237114146,77.30897384986959
110077,28.557106183717792,77.05029954228567
110078,28.599196512019827,77.03067865311266
110080,28.49610096630487,77.2347599938292
110081,28.736014943366495,76.99899328957969
110082,28.788835686255872,77.1073297811888
110083,28.69133420766759,77.08894655722295
110084,28.753658529161058,77.20565973547325
110085,28.717010156563713,77.10605030850834
110086,28.702362061749685,77.06069142254313
110087,28.66930065148989,77.08545425904325
110088,28.71450713246797,77.15660408159515
110089,28.735656560300374,77.12816369531478
110090,28.735705355967568,77.25103181041
110091,28.603688866864875,77.29433508848904
110092,28.632278527482253,77.28730816874021
110093,28.699120369486977,77.30771954873768
110094,28.704755130034314,77.28496477851155
110095,28.678311723058563,77.31557350564584
110096,28.611999311254483,77.3239137374637
110097,28.527538992390586,77.08840315199593
110099,28.735410782225976,77.06471844973267
121001,28.395808277745843,77.29120063497655
121002,28.43217821670577,77.37980790034173
121003,28.463567536734253,77.33370268802034
121004,28.300843023576967,77.3196474190051
121005,28.363259962585296,77.28911230291196
121006,28.363945661601775,77.34439233979501
121007,28.396135802391083,77.34017308116103
121008,28.433476515039654,77.31701453711763
121009,28.485632961567227,77.28647834984635
121010,28.451027982918664,77.294655771428
121012,28.423619453769,77.29077854852159
121013,28.478524169989257,77.33376381887935
121014,28.41634384848421,77.36812976315346
121015,28.34448367713237,77.27786441555433
121101,28.35784950894348,77.43455746536549
121102,28.15886128962563,77.34364248673926
121103,28.04998279773928,77.21124010464779
121105,28.005549596849207,77.33789775671251
121106,27.92103825769959,77.37673663647037
121107,27.969651609421003,77.47597054038216
122001,28.459294291720564,77.0239094148776
122002,28.484006027308507,77.09872403691509
122003,28.439086459307045,77.09063900904268
122004,28.42395630193583,77.00308452808154
122005,28.488808299130884,77.04417574654538
122006,28.474212893898653,76.98623490115797
122007,28.473501124471074,77.05135986776146
122009,28.458310140742455,77.09356036179913
122011,28.424520170585144,77.10425014735954
122012,28.38102542350972,76.96807241220759
122015,28.49357086340475,77.06810169163731
122016,28.50885283770017,77.0812049481405
122017,28.514271305235805,77.03023649020139
122018,28.42064762299929,77.04859255674612
122051,28.346890190257838,76.91426711577898
122052,28.35608189761265,76.92505433787206
122098,28.396127198340594,77.09757143526328
